City ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Siavonga,ZM,79.45,light rain,-16.5382,28.7088,Lake Safari Lodge Annex
1,Hermanus,ZA,75.43,scattered clouds,-34.4187,19.2345,Aloe guest house
2,Karratha,AU,82.54,few clouds,-20.7377,116.8463,Karratha International Hotel
5,Chuy,UY,80.33,few clouds,-33.6971,-53.4616,Alerces
6,Vaini,TO,71.76,few clouds,-21.2,-175.2,Keleti International Resort
8,Sao Joao Da Barra,BR,86.09,few clouds,-21.6403,-41.0511,Pousada Mediterrâneo
9,Pisco,PE,71.65,mist,-13.7,-76.2167,La Portada
13,Bredasdorp,ZA,79.99,broken clouds,-34.5322,20.0403,Victoria Hotel
14,Avarua,CK,77.05,heavy intensity rain,-21.2078,-159.775,Paradise Inn
24,General Pico,AR,84.78,overcast clouds,-35.6566,-63.7568,Euskadi Hotel
27,Kanniyakumari,IN,77.25,clear sky,8.0833,77.5667,The Seashore Hotel
32,Rikitea,PF,77.58,broken clouds,-23.1203,-134.9692,Chez Bianca & Benoit
35,Georgetown,MY,82.33,few clouds,5.4112,100.3354,Page 63 hostel
44,Puerto Ayora,EC,82.36,overcast clouds,-0.7393,-90.3518,Hostal La Mirada De Solitario George
48,Padang,ID,75.25,overcast clouds,-0.9492,100.3543,losmen Surya
51,Coro,VE,82.62,scattered clouds,11.4045,-69.6734,Urumaco Suite
59,Saint-Philippe,RE,80.19,light rain,-21.3585,55.7679,Le Baril
61,Cape Town,ZA,84.11,few clouds,-33.9258,18.4232,Townhouse Hotel
63,Hithadhoo,MV,81.84,few clouds,-0.6,73.0833,Pebbles Inn
64,Atuona,PF,77.05,light rain,-9.8,-139.0333,Pearl Resort
72,Mount Isa,AU,80.37,light rain,-20.7333,139.5,Ibis Styles
75,Sao Felix Do Xingu,BR,75.97,light rain,-6.6447,-51.995,Hotel Terraço
79,Souillac,MU,80.98,light rain,-20.5167,57.5167,Hotel SkylineInn
87,Taltal,CL,72.55,clear sky,-25.4,-70.4833,Hostería Taltal
90,Cockburn Town,TC,76.23,broken clouds,21.4612,-71.1419,The Salt Raker Inn
95,Kavieng,PG,82.33,overcast clouds,-2.5744,150.7967,Kavieng Hotel
96,Teofilo Otoni,BR,80.91,broken clouds,-17.8575,-41.5053,Hotel Lancaster
108,Saint-Pierre,RE,83.57,light rain,-21.3393,55.4781,Tropic Hotel
114,Geraldton,AU,72.01,overcast clouds,-28.7667,114.6,Ocean Centre Hotel
119,Phuket,TH,84.09,broken clouds,8.0,98.25,Amanpuri
121,Sao Miguel Do Araguaia,BR,83.39,few clouds,-13.275,-50.1628,Hotel São Miguel
131,San Cristobal,VE,73.58,few clouds,7.7669,-72.225,Terra Sur
132,Pedro Ii,BR,88.14,broken clouds,-4.4247,-41.4586,Hotel Opção
133,Cidreira,BR,74.21,overcast clouds,-30.1811,-50.2056,Hotel Castelo
139,Mar Del Plata,AR,81.82,scattered clouds,-38.0023,-57.5575,Nuevo Ostende
144,Upata,VE,82.51,few clouds,8.0086,-62.3989,Hotel Garibardi
146,Kaoma,ZM,74.41,light rain,-14.7833,24.8,Pumulo Pardway Lodge
148,Sechura,PE,78.19,broken clouds,-5.5569,-80.8222,Hospedaje Claritza
151,Hilo,US,70.25,clear sky,19.7297,-155.09,Dolphin Bay Hotel
152,Ambon,ID,78.94,few clouds,-3.6954,128.1814,Hotel Hero
154,Mahebourg,MU,80.89,light rain,-20.4081,57.7,Grand Bel Air
155,Castro,BR,78.15,overcast clouds,-24.7911,-50.0119,Hotel Central Palace
156,Yulara,AU,83.08,few clouds,-25.2406,130.9889,Outback Pioneer Hotel & Lodge
158,Moa,CU,78.44,clear sky,20.6569,-74.9403,Hotel Miraflores
163,Isangel,VU,73.51,moderate rain,-19.55,169.2667,Tanna Lodge
168,Meulaboh,ID,75.51,overcast clouds,4.1363,96.1285,Hotel Meuligou
169,Salalah,OM,77.09,few clouds,17.0151,54.0924,Muscat International Hotel
173,Bengkulu,ID,75.58,light rain,-3.8004,102.2655,Dena Hotel
175,San Miguel,SV,81.46,clear sky,13.4833,-88.1833,Continental Plaza Hotel
177,Kamina,CD,72.3,overcast clouds,-8.7386,24.9906,Hôtel DG
178,Fayaoue,NC,77.05,moderate rain,-20.65,166.5333,Hôtel Beaupré
180,Saldanha,ZA,78.85,broken clouds,-33.0117,17.9442,Hoedjesbaai
188,Soure,BR,75.25,overcast clouds,-0.7167,-48.5233,Hotel Marajó
190,Kloulklubed,PW,77.5,overcast clouds,7.0419,134.2556,The Adventures Inn
192,Atar,MR,82.45,overcast clouds,20.5169,-13.0499,فندق سكليل
194,Chake Chake,TZ,81.7,overcast clouds,-5.2459,39.7666,Annex Pemba Hotel
195,Sabha,LY,71.37,clear sky,27.0377,14.4283,فندق الكاظم-سبها
201,San Pedro,PH,78.35,scattered clouds,14.35,121.0167,Hotel Takara
203,Mabaruma,GY,78.67,few clouds,8.2,-59.7833,Monty Brooms Hotel
204,Port Elizabeth,ZA,88.11,scattered clouds,-33.918,25.5701,Waterford Hotel
211,Bubaque,GW,78.3,clear sky,11.2833,-15.8333,Chez Julio
216,Touros,BR,84.15,overcast clouds,-5.1989,-35.4608,Pousada Atlântico
218,Port-Gentil,GA,82.36,thunderstorm,-0.7193,8.7815,Tara-Mé
220,Bitung,ID,77.85,overcast clouds,1.4451,125.1824,Divers Lodge Lembeh
221,Chon Daen,TH,76.19,few clouds,16.1895,100.8596,K & P Resort
