City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Siavonga,ZM,-16.5382,28.7088,79.45,74,92,5.17,light rain
1,Hermanus,ZA,-34.4187,19.2345,75.43,73,44,14.81,scattered clouds
2,Karratha,AU,-20.7377,116.8463,82.54,67,14,9.04,few clouds
3,Iranshahr,IR,27.2025,60.6848,52.14,93,100,0.0,light rain
4,Mataura,NZ,-46.1927,168.8643,52.21,98,57,0.56,broken clouds
5,Chuy,UY,-33.6971,-53.4616,80.33,51,11,14.92,few clouds
6,Vaini,TO,-21.2,-175.2,71.76,100,20,0.0,few clouds
7,Port Alfred,ZA,-33.5906,26.891,81.18,84,9,17.76,clear sky
8,Sao Joao Da Barra,BR,-21.6403,-41.0511,86.09,81,12,10.98,few clouds
9,Pisco,PE,-13.7,-76.2167,71.65,83,40,6.91,mist
10,Mbamba,NG,9.9833,13.1,92.25,13,77,1.92,broken clouds
11,Severo-Kurilsk,RU,50.6789,156.125,16.45,58,100,22.01,light snow
12,Ushuaia,AR,-54.8,-68.3,64.02,76,100,4.12,overcast clouds
13,Bredasdorp,ZA,-34.5322,20.0403,79.99,56,69,18.48,broken clouds
14,Avarua,CK,-21.2078,-159.775,77.05,94,75,16.11,heavy intensity rain
15,Hobart,AU,-42.8794,147.3294,53.46,75,75,13.8,broken clouds
16,Krasnoselkup,RU,65.7,82.4667,-11.52,97,100,16.31,light snow
17,Biak,ID,-0.9131,122.8766,75.51,85,50,4.05,scattered clouds
18,Kieta,PG,-6.2167,155.6333,79.47,86,88,10.13,light rain
19,Buraydah,SA,26.326,43.975,57.65,37,54,7.99,broken clouds
20,Poum,NC,-20.2333,164.0167,78.26,80,100,16.87,overcast clouds
21,Haverfordwest,GB,51.8017,-4.9691,44.58,85,28,5.01,scattered clouds
22,Kavaratti,IN,10.5669,72.642,80.49,74,82,6.35,broken clouds
23,Yellowknife,CA,62.456,-114.3525,9.12,92,40,9.22,scattered clouds
24,General Pico,AR,-35.6566,-63.7568,84.78,39,100,9.24,overcast clouds
25,Barrow,US,71.2906,-156.7887,-5.78,84,100,24.16,haze
26,Bluff,NZ,-46.6,168.3333,56.89,87,42,0.65,scattered clouds
27,Kanniyakumari,IN,8.0833,77.5667,77.25,70,0,21.94,clear sky
28,Turukhansk,RU,65.8167,87.9833,-21.32,80,100,6.62,overcast clouds
29,Sitka,US,57.0531,-135.33,35.49,80,20,10.36,light rain
30,New Norfolk,AU,-42.7826,147.0587,53.1,61,50,3.0,scattered clouds
31,Kodinsk,RU,58.6881,99.1844,-45.94,100,52,2.35,broken clouds
32,Rikitea,PF,-23.1203,-134.9692,77.58,72,60,3.94,broken clouds
33,Dingle,PH,10.9995,122.6711,75.61,93,100,7.43,overcast clouds
34,San Patricio,US,28.017,-97.5169,72.07,82,99,5.84,overcast clouds
35,Georgetown,MY,5.4112,100.3354,82.33,79,20,5.75,few clouds
36,Kapaa,US,22.0752,-159.319,66.52,88,0,5.75,clear sky
37,Tiksi,RU,71.6872,128.8694,-25.74,100,100,3.87,overcast clouds
38,Thompson,CA,55.7435,-97.8558,14.16,92,100,4.61,mist
39,Alugan,PH,12.2188,125.4808,77.81,88,100,10.85,light rain
40,Labuhan,ID,-6.8844,112.2051,77.07,88,100,2.91,heavy intensity rain
41,Pirgos,GR,35.1167,25.7178,62.62,72,2,16.22,clear sky
42,Havre,FR,49.5833,0.3333,39.2,93,100,8.05,snow
43,Leningradskiy,RU,69.3833,178.4167,-18.27,94,100,21.3,light snow
44,Puerto Ayora,EC,-0.7393,-90.3518,82.36,92,97,5.99,overcast clouds
45,Moose Factory,CA,51.2585,-80.6094,14.0,85,100,8.05,overcast clouds
46,Williston,US,48.147,-103.618,20.14,99,83,3.53,broken clouds
47,Punta Arenas,CL,-53.15,-70.9167,66.31,52,0,25.32,clear sky
48,Padang,ID,-0.9492,100.3543,75.25,88,100,4.07,overcast clouds
49,Merauke,ID,-8.4667,140.3333,81.52,82,100,14.99,overcast clouds
50,Koutiala,ML,12.3917,-5.4642,91.85,8,4,8.37,clear sky
51,Coro,VE,11.4045,-69.6734,82.62,60,35,12.95,scattered clouds
52,Tasiilaq,GL,65.6145,-37.6368,8.76,70,52,5.53,broken clouds
53,Longyearbyen,SJ,78.2186,15.6401,8.44,72,0,10.36,clear sky
54,Vardo,NO,70.3705,31.1107,33.78,75,73,14.97,broken clouds
55,Lagoa,PT,39.05,-27.9833,55.47,67,1,6.62,clear sky
56,Ilulissat,GL,69.2167,-51.1,-29.25,70,2,7.23,clear sky
57,Lebu,CL,-37.6167,-73.65,65.05,67,26,8.63,scattered clouds
58,Kodiak,US,57.79,-152.4072,20.71,86,0,4.61,clear sky
59,Saint-Philippe,RE,-21.3585,55.7679,80.19,90,100,15.39,light rain
60,Jinka,ET,5.65,36.65,81.68,24,60,4.18,broken clouds
61,Cape Town,ZA,-33.9258,18.4232,84.11,71,20,13.8,few clouds
62,Ribeira Grande,PT,38.5167,-28.7,61.2,67,40,5.75,scattered clouds
63,Hithadhoo,MV,-0.6,73.0833,81.84,67,11,8.72,few clouds
64,Atuona,PF,-9.8,-139.0333,77.05,81,52,19.6,light rain
65,Albany,US,42.6001,-73.9662,42.67,90,100,1.01,overcast clouds
66,Parfino,RU,57.9731,31.6481,36.18,98,100,12.53,overcast clouds
67,Pevek,RU,69.7008,170.3133,-34.87,100,100,4.18,overcast clouds
68,Luderitz,NA,-26.6481,15.1594,72.34,73,71,13.06,broken clouds
69,Naze,JP,28.3667,129.4833,56.32,66,98,10.22,overcast clouds
70,Lantawan,PH,10.6167,123.9833,78.49,91,98,4.63,overcast clouds
71,Jamestown,US,42.097,-79.2353,37.02,75,100,12.66,mist
72,Mount Isa,AU,-20.7333,139.5,80.37,57,35,5.75,light rain
73,Puerto Del Rosario,ES,28.5004,-13.8627,67.75,60,75,23.02,broken clouds
74,Arethousa,GR,40.7435,23.5898,62.28,56,70,7.52,broken clouds
75,Sao Felix Do Xingu,BR,-6.6447,-51.995,75.97,85,100,2.39,light rain
76,Avila,ES,40.5833,-5.0,35.65,89,92,18.43,overcast clouds
77,North Bend,US,43.4065,-124.2243,49.86,93,100,11.5,overcast clouds
78,Tabuk,PH,17.4189,121.4443,68.59,90,90,4.65,overcast clouds
79,Souillac,MU,-20.5167,57.5167,80.98,83,75,18.41,light rain
80,Marienburg,PL,54.0359,19.0266,38.84,85,100,8.77,light rain
81,Lavrentiya,RU,65.5833,-171.0,-22.97,93,34,7.63,scattered clouds
82,Cardenas,CU,23.0375,-81.2047,74.16,62,0,10.87,clear sky
83,Armidale,AU,-30.5167,151.65,56.23,79,1,4.54,clear sky
84,Krutikha,RU,53.9599,81.2093,5.11,95,100,5.99,overcast clouds
85,Nikolskoye,RU,59.7035,30.7861,35.8,98,100,7.23,overcast clouds
86,Chenzhou,CN,25.8,113.0333,43.38,62,36,1.43,scattered clouds
87,Taltal,CL,-25.4,-70.4833,72.55,68,0,8.7,clear sky
88,Talnakh,RU,69.4865,88.3972,-21.8,83,100,7.34,overcast clouds
89,Busselton,AU,-33.65,115.3333,66.63,51,45,19.08,scattered clouds
90,Cockburn Town,TC,21.4612,-71.1419,76.23,55,55,13.04,broken clouds
91,Rabagani,RO,46.75,22.2333,46.27,85,33,2.98,scattered clouds
92,Maniitsoq,GL,65.4167,-52.9,7.77,56,100,7.2,overcast clouds
